month_dt,region_desc,obj_cnt,total_area,living_area,elem_1k_cnt,elem_2k_cnt,elem_3k_cnt,elem_4k_cnt,elem_parking_cnt
2021-05-01,Сахалинская область,6,32600,24900,152,172,64,0,0
2021-05-01,Оренбургская область,8,80500,56500,487,381,192,0,0
2021-05-01,Севастополь город,17,115100,81300,874,606,135,14,0
2021-05-01,Ленинградская область,24,233600,150400,2090,821,292,37,0
2021-05-01,Забайкальский край,1,9100,9100,120,48,0,0,0
2021-05-01,Самарская область,13,312400,207900,1933,1181,574,0,354
2021-05-01,Дагестан Республика,1,14600,10700,93,66,3,6,0
2021-05-01,Чеченская Республика,1,10700,8700,60,60,0,0,0
2021-05-01,Брянская область,9,123800,75300,466,588,180,10,0
2021-05-01,Курская область,1,6900,5400,41,40,19,0,0
2021-05-01,Нижегородская область,16,154800,101100,1073,658,226,74,116
2021-05-01,Санкт-Петербург город,69,2170700,1244100,19461,6146,2191,168,4896
2021-05-01,Свердловская область,37,671100,437600,4074,2634,1224,37,933
2021-05-01,Мордовия Республика,5,45000,26400,257,161,73,0,0
2021-05-01,Новгородская область,1,4300,3000,32,24,8,0,0
2021-05-01,Удмуртская Республика,16,198300,124000,1302,986,353,16,120
2021-05-01,Саха (Якутия) Республика ,9,105200,73300,924,441,102,26,157
2021-05-01,Хабаровский край,12,135200,55600,401,347,154,29,234
2021-05-01,Ярославская область,12,108700,68200,524,531,138,6,51
2021-05-01,Саратовская область,16,312600,191300,2300,1348,375,0,0
2021-05-01,Воронежская область,10,208100,151900,1381,883,533,1,0
2021-05-01,Алтайский край,14,243700,159700,888,1059,699,144,0
2021-05-01,Калининградская область,46,459200,297900,2815,2341,605,16,436
2021-05-01,Адыгея Республика,2,20700,14100,260,106,0,0,0
2021-05-01,Красноярский край,14,197900,128000,1200,1170,322,54,36
2021-05-01,Костромская область,13,63500,46400,409,355,132,0,0
2021-05-01,Еврейская Автономная область,1,1700,1300,12,12,3,0,0
2021-05-01,Ставропольский край,47,403100,258500,2694,1944,595,12,315
2021-05-01,Пензенская область,8,121700,69500,873,389,195,6,59
2021-05-01,Псковская область,10,96900,67800,772,321,229,10,8
2021-05-01,Липецкая область,5,88900,62700,571,430,111,0,150
2021-05-01,Тульская область,13,225100,128600,992,795,392,2,38
2021-05-01,Тамбовская область,6,3500,1600,48,0,0,0,0
2021-05-01,Тверская область,14,104000,74400,577,420,213,50,12
2021-05-01,Ненецкий Автономный округ,2,23400,16600,63,148,131,0,0
2021-05-01,Кемеровская область - Кузбасс,7,81500,57800,1060,67,48,0,0
2021-05-01,Приморский край,10,179900,107300,828,499,105,89,397
2021-05-01,Ивановская область,3,22200,16800,173,125,27,0,0
2021-05-01,Челябинская область,7,83100,56100,387,395,197,25,27
2021-05-01,Северная Осетия - Алания Республика,7,51900,38200,250,226,129,0,0
2021-05-01,Калужская область,19,102600,75300,804,590,110,1,55
